source,target
S cell_Gip high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:type D cell of small intestine:type G enteroendocrine cell:T cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:small intestine goblet cell:smooth muscle cell of small intestine:epithelial cell of small intestine:PP cell of intestine:|||:nodal myocyte:Feyrter cell:type N enteroendocrine cell:type D enteroendocrine cell"
S1 proximal tubule cells(Kidney),"kidney cortex tubule cell:kidney proximal straight tubule epithelial cell:parietal epithelial cell:inner renal cortex cell:|||:Be cell:nodal myocyte:type D enteroendocrine cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of proximal tubule:male germ line stem cell (sensu Vertebrata):primary cultured cell:bronchial goblet cell:|||:T cell:Feyrter cell:type N enteroendocrine cell:parafollicular cell"
S3 proximal tubule cells(Kidney),"kidney proximal straight tubule epithelial cell:kidney cortex tubule cell:parietal epithelial cell:inner renal cortex cell:|||:Be cell:type G enteroendocrine cell:B cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of proximal tubule:male germ line stem cell (sensu Vertebrata):primary cultured cell:strial basal cell:|||:type D enteroendocrine cell:nodal myocyte:T cell:parafollicular cell"
Schwann cell(Brain),"ectodermal cell:neural cell:neuronal stem cell:leptomeningeal cell:|||:terminal Schwann cell:myelinating Schwann cell:immature Schwann cell:non-myelinating Schwann cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:Schwann cell:Schwann cell precursor:sheath cell:chromaffin cell:|||:type N enteroendocrine cell:natural killer cell:T cell:parafollicular cell"
Sertoli cell(Testis),"Leydig cell:primitive red blood cell:primordial germ cell:gestational hematopoietic stem cell:|||:Sertoli cell:T cell:B cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:embryonic cell (metazoa):secretory cell:serous secreting cell:glial cell:|||:Feyrter cell:type N enteroendocrine cell:parafollicular cell:type D enteroendocrine cell"
Skeletal muscle cell_Myl1 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:muscle cell:type G enteroendocrine cell:parafollicular cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:skeletal muscle satellite stem cell:skeletal muscle satellite myogenic cell:skeletal muscle satellite cell:skeletal muscle myoblast:|||:Be cell:nodal myocyte:Feyrter cell:B cell"
Skeletal muscle cell_Tnnc2 high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:muscle cell:M cell of gut:type G enteroendocrine cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:skeletal muscle satellite cell:skeletal muscle satellite stem cell:skeletal muscle satellite myogenic cell:activated skeletal muscle satellite cell:|||:Be cell:T cell:nodal myocyte:Feyrter cell"
Small luteal cell(Ovary),"luteal cell:theca cell:stromal cell of ovarian medulla:primordial germ cell:|||:small luteal cell:Kolmer-Agduhr neuron:type D enteroendocrine cell:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type I pneumocyte:large luteal cell:stromal cell of ovary:CD22-positive, CD38-low small pre-B cell:|||:nodal myocyte:type N enteroendocrine cell:Feyrter cell:T cell"
Smooth muscle cell(Bladder),"urothelial cell of trigone of urinary bladder:mesodermal cell:gestational hematopoietic stem cell:primordial germ cell:|||:muscle cell:smooth muscle cell:smooth muscle cell of bladder:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of trachea:smooth muscle cell of cecum:smooth muscle cell of colon:smooth muscle cell of prostate:|||:T cell:type N enteroendocrine cell:nodal myocyte:type D enteroendocrine cell"
Smooth muscle cell(Neonatal-Heart),"smooth muscle cell of the pulmonary artery:cardiac muscle myoblast:gestational hematopoietic stem cell:mesodermal cell:|||:muscle cell:smooth muscle cell:aortic smooth muscle cell:Be cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of trachea:smooth muscle cell of bladder:smooth muscle cell of prostate:smooth muscle cell of the carotid artery:|||:parafollicular cell:B cell:M cell of gut:Feyrter cell"
Smooth muscle cell_Acta2 high(Neonatal-Skin),"epithelial cell of skin gland:stem cell of epidermis:prickle cell:neuromast mantle cell:|||:muscle cell:smooth muscle cell:Be cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of large intestine:smooth muscle cell of small intestine:smooth muscle cell of trachea:smooth muscle cell of colon:|||:type D enteroendocrine cell:B cell:nodal myocyte:type N enteroendocrine cell"
Smooth muscle cell_Acta2 high(Pancreas),"epithelial cell of exocrine pancreas:pancreatic acinar cell:pancreatic D cell:type B pancreatic cell:|||:muscle cell:smooth muscle cell:Be cell:ureter smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of trachea:smooth muscle cell of cecum:smooth muscle cell of prostate:smooth muscle cell of small intestine:|||:T cell:Feyrter cell:parafollicular cell:type D enteroendocrine cell"
Smooth muscle cell_Mylk high(Neonatal-Muscle),"cell of skeletal muscle:adaxial cell:|||:smooth muscle cell:muscle cell:uterine smooth muscle cell:aortic smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of trachea:smooth muscle cell derived foam cell:smooth muscle cell of small intestine:smooth muscle cell of the esophagus:|||:Be cell:M cell of gut:type G enteroendocrine cell:Feyrter cell"
Smooth muscle cell_Rgs5 high(Pancreas),"pancreatic acinar cell:epithelial cell of exocrine pancreas:type B pancreatic cell:pancreatic D cell:|||:smooth muscle cell:muscle cell:Be cell:ureter smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of trachea:smooth muscle cell of large intestine:smooth muscle cell of cecum:smooth muscle cell of prostate:|||:M cell of gut:parafollicular cell:type N enteroendocrine cell:nodal myocyte"
Smooth muscle cell_Rgs5 high(Uterus),"myometrial cell:epithelial cell of cervix:stromal cell of endometrium:placental hematopoietic stem cell:|||:smooth muscle cell:muscle cell:ureter smooth muscle cell:uterine smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle cell of large intestine:smooth muscle cell of prostate:smooth muscle cell of cecum:smooth muscle cell of rectum:|||:Be cell:parafollicular cell:Feyrter cell:B cell"
Spermatids_1700016P04Rik high(Testis),"gestational hematopoietic stem cell:primitive red blood cell:primordial germ cell:embryonic fibroblast:|||:pigmented ciliary epithelial cell:sperm:spermatid:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD69-positive, CD8-positive single-positive thymocyte:CD69-positive, CD4-positive single-positive thymocyte:spermatocyte:male germ line stem cell (sensu Vertebrata):|||:type II pneumocyte:non-pigmented ciliary epithelial cell:immature single positive thymocyte:mucosal type mast cell"
Spermatids_Cst13 high(Testis),"primitive red blood cell:gestational hematopoietic stem cell:seminiferous tubule epithelial cell:primordial germ cell:|||:pigmented ciliary epithelial cell:type I pneumocyte:spermatid:sperm:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:spermatocyte:male germ line stem cell (sensu Vertebrata):CD69-positive, CD4-positive single-positive thymocyte:somatic stem cell:|||:smooth muscle cell:type II pneumocyte:non-pigmented ciliary epithelial cell:embryonic stem cell"
Spermatids_Hmgb4 high(Testis),"primitive red blood cell:seminiferous tubule epithelial cell:gestational hematopoietic stem cell:primordial germ cell:|||:type I pneumocyte:pigmented ciliary epithelial cell:spermatid:sperm:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:male germ line stem cell (sensu Vertebrata):spermatocyte:tissue-resident macrophage:CD69-positive, CD8-positive single-positive thymocyte:|||:type II pneumocyte:mucosal type mast cell:non-pigmented ciliary epithelial cell:myofibroblast cell"
Spermatids_Tnp1 high(Testis),"gestational hematopoietic stem cell:primitive red blood cell:seminiferous tubule epithelial cell:primordial germ cell:|||:type I pneumocyte:spermatid:sperm:pigmented ciliary epithelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:male germ line stem cell (sensu Vertebrata):spermatocyte:spermatogonium:CD69-positive, CD4-positive single-positive thymocyte:|||:type II pneumocyte:pro-NK cell:mucosal type mast cell:immature single positive thymocyte"
Spermatocyte_1700001F09Rik high(Testis),"primitive red blood cell:primordial germ cell:seminiferous tubule epithelial cell:gestational hematopoietic stem cell:|||:sperm:pigmented ciliary epithelial cell:spermatocyte:keratocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:adipocyte of epicardial fat of right ventricle:preadipocyte of the breast:pericyte cell:primary spermatocyte:|||:mast cell:oocyte:hepatocyte:fetal derived definitive erythrocyte"
Spermatocyte_Cabs1 high(Testis),"gestational hematopoietic stem cell:fetal derived definitive erythrocyte:primitive red blood cell:seminiferous tubule epithelial cell:|||:sperm:spermatocyte:pigmented ciliary epithelial cell:keratocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:primary spermatocyte:adipocyte of epicardial fat of right ventricle:preadipocyte of the breast:secondary spermatocyte:|||:mast cell:oocyte:hepatocyte:spermatid"
Spermatocyte_Calm2 high(Testis),"gestational hematopoietic stem cell:primitive red blood cell:fetal derived definitive erythrocyte:primordial germ cell:|||:spermatocyte:sperm:pigmented ciliary epithelial cell:keratocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:male germ line stem cell (sensu Vertebrata):primary spermatocyte:peritoneal macrophage:premigratory neural crest cell:|||:mast cell:oocyte:hepatocyte:astrocyte"
Spermatocyte_Mesp1 high(Testis),"gestational hematopoietic stem cell:seminiferous tubule epithelial cell:fetal derived definitive erythrocyte:primitive red blood cell:|||:pigmented ciliary epithelial cell:spermatocyte:sperm:keratocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:podocyte (sensu Diptera):male germ line stem cell (sensu Vertebrata):phagocyte (sensu Vertebrata):primary spermatocyte:|||:mast cell:oocyte:hepatocyte:astrocyte"
Spermatocyte_Slc2a3 high(Testis),"primitive red blood cell:gestational hematopoietic stem cell:fetal derived definitive erythrocyte:seminiferous tubule epithelial cell:|||:sperm:pigmented ciliary epithelial cell:Langerhans cell:spermatocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:primary spermatocyte:adipocyte of epicardial fat of right ventricle:preadipocyte of the breast:keratinocyte stem cell:|||:keratocyte:mast cell:oocyte:hepatocyte"
Spermatogonia_1700001P01Rik high(Testis),"gestational hematopoietic stem cell:primordial germ cell:primitive red blood cell:embryonic fibroblast:|||:pigmented ciliary epithelial cell:sperm:spermatogonium:spermatid:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:male germ line stem cell (sensu Vertebrata):spermatocyte:pulmonary interstitial fibroblast:respiratory goblet cell:|||:mucosal type mast cell:immature single positive thymocyte:type II pneumocyte:type I pneumocyte"
Spermatogonia_Tbc1d23 high(Testis),"gestational hematopoietic stem cell:embryonic fibroblast:seminiferous tubule epithelial cell:primitive red blood cell:|||:sperm:pigmented ciliary epithelial cell:spermatogonium:spermatid:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:male germ line stem cell (sensu Vertebrata):spermatocyte:hematopoietic oligopotent progenitor cell:hematopoietic stem cell:|||:erythrocyte:plasmacytoid dendritic cell:type II pneumocyte:common dendritic progenitor"
Stem and progenitor cell(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:mammary alveolar cell:myoepithelial cell of acinus of lactiferous gland:ectodermal cell:|||:Tr1 cell:pro-T cell:pro-B cell:hepatic stellate cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:erythroid progenitor cell, mammalian:preosteoblast:myoepithelial cell of mammary gland:mesenchymal stem cell:|||:R6 photoreceptor cell:R1 photoreceptor cell:R8 photoreceptor cell:R7 photoreceptor cell"
Stomach cell_Gkn2 high(Stomach),"mucous cell of stomach:gastric goblet cell:|||:H minus:type D cell of stomach:Feyrter cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peptic cell:type A cell of stomach:foveolar cell of stomach:epithelial cell of stomach:|||:stromal cell:type N enteroendocrine cell:T cell:nodal myocyte"
Stomach cell_Mt2 high(Stomach),"mucous cell of stomach:gastric goblet cell:|||:H minus:type D cell of stomach:M cell of gut:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peptic cell:type A cell of stomach:foveolar cell of stomach:epithelial cell of stomach:|||:somatic cell:T cell:stromal cell:type D enteroendocrine cell"
Stomach cell_Muc5ac high(Stomach),"mucous cell of stomach:gastric goblet cell:|||:H minus:type D cell of stomach:parafollicular cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:peptic cell:type A cell of stomach:surface mucosal cell of stomach:foveolar cell of stomach:|||:type G enteroendocrine cell:B cell:type N enteroendocrine cell:type D enteroendocrine cell"
Stroma cell (Ovary),"stromal cell of ovarian medulla:theca cell:luteal cell:primordial germ cell:|||:stromal cell:Kolmer-Agduhr neuron:stromal cell of ovary:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:chromaffin cell of ovary:stromal cell of pancreas:granulosa cell:stromal cell of ovarian cortex:|||:parafollicular cell:type G enteroendocrine cell:type N enteroendocrine cell:nodal myocyte"
Stromal cell(Liver),"mesodermal cell:epithelial cell of alimentary canal:intrahepatic cholangiocyte:endothelial cell of hepatic sinusoid:|||:stromal cell:Kolmer-Agduhr neuron:B cell:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:littoral cell of liver:mesenchymal stem cell:stromal cell of endometrium:|||:T cell:type G enteroendocrine cell:Feyrter cell:parafollicular cell"
Stromal cell(Muscle),"cell of skeletal muscle:adaxial cell:|||:stromal cell:stromal cell of ovary:M cell of gut:skeletal muscle myoblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mesenchymal stem cell:stromal cell of pancreas:stromal cell of endometrium:blastemal cell:|||:Kolmer-Agduhr neuron:parafollicular cell:type G enteroendocrine cell:T cell"
Stromal cell(Prostate),"epithelial cell of prostatic acinus:epithelial cell of prostatic duct:mesodermal cell:basal epithelial cell of prostatic duct:|||:stromal cell:Kolmer-Agduhr neuron:B cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:epithelial cell of prostate:stromal cell of ovary:stromal cell of pancreas:smooth muscle cell of prostate:|||:parafollicular cell:type G enteroendocrine cell:type D enteroendocrine cell:type N enteroendocrine cell"
Stromal cell_Acta1 high(Neonatal-Rib),"adaxial cell:|||:stromal cell:Kolmer-Agduhr neuron:Feyrter cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of endometrium:stromal cell of ovary:stromal cell of pancreas:stromal cell of ovarian cortex:|||:T cell:B cell:parafollicular cell:type G enteroendocrine cell"
Stromal cell_Acta2 high(Lung),"epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:serous cell of epithelium of lobular bronchiole:|||:stromal cell:Kolmer-Agduhr neuron:Feyrter cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of endometrium:stromal cell of ovarian medulla:stromal cell of ovary:|||:M cell of gut:parafollicular cell:nodal myocyte:T cell"
Stromal cell_Adamdec1 high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:microfold cell of epithelium proper of ileum:pancreatic goblet cell:|||:stromal cell:Kolmer-Agduhr neuron:type G enteroendocrine cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type D cell of small intestine:small intestine goblet cell:epithelial cell of small intestine:smooth muscle cell of small intestine:|||:M cell of gut:T cell:type D enteroendocrine cell:parafollicular cell"
Stromal cell_Akr1c18 high(Neonatal-Skin),"epithelial cell of skin gland:stem cell of epidermis:dermal melanocyte:epidermal melanocyte:|||:stromal cell:Kolmer-Agduhr neuron:type G enteroendocrine cell:T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovarian cortex:stromal cell of endometrium:stromal cell of ovarian medulla:|||:B cell:nodal myocyte:type N enteroendocrine cell:M cell of gut"
Stromal cell_Ankrd1 high(Kidney),"extraglomerular mesangial cell:glomerular mesangial cell:glomerular capillary endothelial cell:interlobular vein cell:|||:stromal cell:Kolmer-Agduhr neuron:type G enteroendocrine cell:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of ovarian medulla:|||:T cell:B cell:parafollicular cell:Feyrter cell"
Stromal cell_Car3 high(Bladder),"urothelial cell of trigone of urinary bladder:mesodermal cell:primordial germ cell:primitive red blood cell:|||:stromal cell:Kolmer-Agduhr neuron:M cell of gut:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:smooth muscle cell of bladder:stromal cell of ovarian cortex:stromal cell of endometrium:|||:T cell:Feyrter cell:type N enteroendocrine cell:B cell"
Stromal cell_Ccl11 high(Uterus),"stromal cell of endometrium:epithelial cell of cervix:decidual cell:myometrial cell:|||:stromal cell:Kolmer-Agduhr neuron:M cell of gut:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:epithelial cell of uterus:stromal cell of ovarian cortex:|||:Feyrter cell:type D enteroendocrine cell:type G enteroendocrine cell:type N enteroendocrine cell"
Stromal cell_Col1a1 high(Neonatal-Calvaria),"calvarial osteoblast:|||:stromal cell:Kolmer-Agduhr neuron:T cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of endometrium:stromal cell of pancreas:|||:type N enteroendocrine cell:type D enteroendocrine cell:type G enteroendocrine cell:Feyrter cell"
Stromal cell_Col3a1 high(Mammary-Gland-Virgin),"myoepithelial cell of lactiferous alveolus:myoepithelial cell of acinus of lactiferous gland:mammary alveolar cell:ectodermal cell:|||:stromal cell:Kolmer-Agduhr neuron:B cell:Feyrter cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:myoepithelial cell of mammary gland:stromal cell of ovary:luminal epithelial cell of mammary gland:stem cell of gastric gland:|||:nodal myocyte:type N enteroendocrine cell:T cell:type D enteroendocrine cell"
Stromal cell_Col3a1 high(Neonatal-Calvaria),"calvarial osteoblast:|||:stromal cell:Kolmer-Agduhr neuron:T cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of endometrium:stromal cell of pancreas:|||:type D enteroendocrine cell:parafollicular cell:type G enteroendocrine cell:M cell of gut"
Stromal cell_Col3a1 high(Neonatal-Heart),"smooth muscle cell of the pulmonary artery:mesodermal cell:fetal derived definitive erythrocyte:fibroblast of pulmonary artery:|||:stromal cell:Kolmer-Agduhr neuron:type D enteroendocrine cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:stromal cell of ovarian medulla:stromal cell of endometrium:stromal cell of ovarian cortex:|||:M cell of gut:T cell:B cell:nodal myocyte"
Stromal cell_Cxcl10 high(Kidney),"glomerular visceral epithelial cell:kidney outer medulla collecting duct epithelial cell:extraglomerular mesangial cell:juxtaglomerular complex cell:|||:stromal cell:Kolmer-Agduhr neuron:B cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of ovarian medulla:|||:Feyrter cell:T cell:type D enteroendocrine cell:type G enteroendocrine cell"
Stromal cell_Cxcl14 high(Uterus),"stromal cell of endometrium:epithelial cell of cervix:decidual cell:myometrial cell:|||:stromal cell:Kolmer-Agduhr neuron:type N enteroendocrine cell:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:epithelial cell of uterus:stromal cell of ovarian cortex:|||:B cell:parafollicular cell:T cell:M cell of gut"
Stromal cell_Dcn high(Kidney),"macula densa epithelial cell:glomerular visceral epithelial cell:kidney outer medulla collecting duct epithelial cell:epithelial cell of glomerular capsule:|||:stromal cell:Kolmer-Agduhr neuron:nodal myocyte:type D enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of endometrium:|||:B cell:type G enteroendocrine cell:M cell of gut:T cell"
Stromal cell_Dcn high(Lung),"epithelial cell of lung:mesodermal cell:mesothelial cell of visceral pleura:basal cell of epithelium of lobular bronchiole:|||:stromal cell:Kolmer-Agduhr neuron:M cell of gut:type N enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of endometrium:stromal cell of pancreas:stromal cell of ovary:stromal cell of ovarian cortex:|||:B cell:T cell:type D enteroendocrine cell:parafollicular cell"
Stromal cell_Dcn high(Small-Intestine),"microfold cell of epithelium of small intestine:enterocyte of epithelium of small intestine:pancreatic goblet cell:microfold cell of epithelium proper of ileum:|||:stromal cell:Kolmer-Agduhr neuron:B cell:parafollicular cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type D cell of small intestine:small intestine goblet cell:smooth muscle cell of small intestine:epithelial cell of small intestine:|||:Feyrter cell:type G enteroendocrine cell:T cell:type D enteroendocrine cell"
Stromal cell_Dpt high(Bladder),"urothelial cell of trigone of urinary bladder:mesodermal cell:primitive red blood cell:primordial germ cell:|||:stromal cell:Kolmer-Agduhr neuron:M cell of gut:B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:smooth muscle cell of bladder:epithelial cell of gall bladder:stromal cell of pancreas:|||:type N enteroendocrine cell:type D enteroendocrine cell:parafollicular cell:Feyrter cell"
Stromal cell_Fmod high(Neonatal-Heart),"smooth muscle cell of the pulmonary artery:mesodermal cell:fetal derived definitive erythrocyte:gestational hematopoietic stem cell:|||:stromal cell:Kolmer-Agduhr neuron:parafollicular cell:nodal myocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of ovary:stromal cell of ovarian cortex:stromal cell of ovarian medulla:stromal cell of pancreas:|||:M cell of gut:Feyrter cell:type G enteroendocrine cell:type N enteroendocrine cell"
Stromal cell_Fn1 high(Pancreas),"pancreatic acinar cell:epithelial cell of exocrine pancreas:type B pancreatic cell:pancreatic D cell:|||:stromal cell:Kolmer-Agduhr neuron:M cell of gut:type G enteroendocrine cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of ovarian cortex:stromal cell of ovary:epithelial cell of pancreas:|||:Feyrter cell:B cell:nodal myocyte:type N enteroendocrine cell"
Stromal cell_Gas6 high(Neonatal-Skin),"epithelial cell of skin gland:dermal melanocyte:stem cell of epidermis:epidermal melanocyte:|||:stromal cell:Kolmer-Agduhr neuron:B cell:M cell of gut:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:stromal cell of pancreas:stromal cell of endometrium:stromal cell of ovary:stromal cell of ovarian cortex:|||:Feyrter cell:type D enteroendocrine cell:type N enteroendocrine cell:type G enteroendocrine cell"
