source,target
"DN to DP transition (some are Cd8+/ Cd4+, some undergoing VDJ recombination  )","pulmonary interstitial fibroblast:cortical thymic epithelial cell:thymic cortical macrophage:thymic medullary macrophage:|||:neuronal stem cell:macrophage dendritic cell progenitor:T-helper 9 cell:pericyte cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:transitional myocyte of middle internodal tract:transitional myocyte of atrial branch of anterior internodal tract:transitional myocyte of atrial septal branch of anterior internodal tract:transitional myocyte of anterior internodal tract:|||:conventional dendritic cell:endothelial cell of lymphatic vessel:megakaryocyte-erythroid progenitor cell:neuron"
"DN to DP transition, dividing (more DN)","pulmonary interstitial fibroblast:cortical thymic epithelial cell:medullary thymic epithelial cell:thymic cortical macrophage:|||:T-helper 9 cell:naive thymus-derived CD4-positive, alpha-beta T cell:neuronal stem cell:type I pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:urothelial cell:transitional myocyte:transitional stage B cell:transitional epithelial cell:|||:type II pneumocyte:common dendritic progenitor:Fraction C precursor B cell:Fraction B precursor B cell"
"DN to DP transition, dividing (some are Cd8+/ Cd4+, some undergoing VDJ recombination)","pulmonary interstitial fibroblast:thymic cortical macrophage:thymic medullary macrophage:cortical thymic epithelial cell:|||:T follicular helper cell:embryonic stem cell:neuronal stem cell:mesenchymal stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:transitional myocyte of atrial branch of anterior internodal tract:transitional myocyte of middle internodal tract:transitional myocyte of atrial septal branch of anterior internodal tract:smooth muscle fiber of descending colon:|||:myofibroblast cell:common dendritic progenitor:type II pneumocyte:type I pneumocyte"
DN4,"leukocyte:pulmonary interstitial fibroblast:thymic medullary macrophage:medullary thymic epithelial cell:|||:epithelial cell of thymus:naive thymus-derived CD4-positive, alpha-beta T cell:naive thymus-derived CD8-positive, alpha-beta T cell:T follicular helper cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:DN4 thymocyte:CD4-positive CD11b-positive dendritic cell:dikaryon:pro-T cell:|||:kidney inner medulla collecting duct epithelial cell:kidney cortex collecting duct epithelial cell:kidney papillary duct principal epithelial cell:kidney nerve cell"
DN4 thymocyte,leukocyte:medullary thymic epithelial cell:cortical thymic epithelial cell:thymic cortical macrophage:|||:thymocyte:DN4 thymocyte:DN2 thymocyte:DN1 thymic pro-T cell:|||:DN4 thymocyte:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:|||:DN3 thymocyte:pro-T cell:DN2a thymocyte:DN2b thymocyte
Dendritic Cell,"mesodermal cell:epithelial cell of lung:pneumocyte:mesothelial cell of visceral pleura:|||:dendritic cell, human:dendritic cell:parafollicular cell:Tc1 cell:|||:dendritic cell:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:liver dendritic cell:dermal dendritic cell:mature conventional dendritic cell:myeloid dendritic cell"
"Double negative Thymocyte, DN4 (Cd8-, Cd4-), some undergoing VDJ recombination ","medullary thymic epithelial cell:pulmonary interstitial fibroblast:cortical thymic epithelial cell:thymic cortical macrophage:|||:thymocyte:type I pneumocyte:double negative thymocyte:DN1 thymic pro-T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:CD8alpha-negative thymic conventional dendritic cell:CD4-negative, CD8-negative type I NK T cell secreting interleukin-4:Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell:CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma:|||:DN4 thymocyte:DN2 thymocyte:DN3 thymocyte:muscle cell"
"Double negative thymocyte, DN3 (Cd8-, Cd4-), some express pre TCR alpha","thymic cortical macrophage:medullary thymic epithelial cell:cortical thymic epithelial cell:thymic medullary macrophage:|||:type I pneumocyte:double negative thymocyte:thymocyte:DN4 thymocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:double negative memory B cell:IgG-negative double negative memory B cell:IgG-positive double negative memory B cell:CD8alpha-negative thymic conventional dendritic cell:|||:DN1 thymic pro-T cell:DN2 thymocyte:DN3 thymocyte:muscle cell"
Endothelial cell,"neural cell:ectodermal cell:leptomeningeal cell:choroid plexus epithelial cell:|||:endothelial cell:circulating endothelial cell:glial cell:vein endothelial cell:|||:endothelial cell:cartwheel heterochromatin:mature gamma-delta T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:gut endothelial cell:endothelial tip cell:endo-epithelial cell:mesothelial cell"
Enterocyte,"enteric smooth muscle cell:epithelial cell of appendix:smooth muscle cell of cecum:epithelial cell of large intestine:|||:enterocyte:Bm4 B cell:tendon cell:oocyte:|||:enterocyte:cartwheel heterochromatin:eosinophilic promyelocyte:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:nephrocyte:neutrophil:heterocyst:oenocyte"
